title,link,year,publication_type,publication_date,doi,abstract,authors,patent,created_at,updated_at,trackid
A Wide-Range All-Digital Delay-Locked Loop for DDR1-DDR5 Applications,https://www.researchgate.net/publication/353749006_A_Wide-Range_All-Digital_Delay-Locked_Loop_for_DDR1-DDR5_Applications,2021,Article,2021-08-01 00:00:00,DOI:10.1109/TVLSI.2021.3098171,"A high-speed wide-range all-digital delay-locked loop (ADDLL) suitable for double data rate (DDR1)–DDR5 applications is proposed. The proposed architecture combines the advantages of synchronous mirror delay and delay-locked loop (DLL), which can solve the dynamic tracking problem without requiring a long locking time. In addition, the operating range of the aforementioned architecture is extended through harmonic locking detection and autocalibration technologies. For verification, an experimental chip was fabricated using a 90-nm standard CMOS process with a 1-V power supply. The core area occupies 381μm×234μm\mu \text {m} \times 234\,\,\mu \text{m}. The measurement results indicate that the operating range of the proposed ADDLL was from 0.1 to 2.7 GHz, and the peak-to-peak period jitter was less than 5 ps. The output error was less than 1.9%, and the maximum quadrature phase error was 3.61°.","Chih-Wei Tsai, Yu-Ting Chiu, Yo-Hao Tu, Kuo-Hsing Cheng",,2025-01-20 00:49:05.015192,2025-01-20 00:49:05.015192,2f424434d68511ef984c0c9a3cb15cde
Near end and Far end Crosstalk reduction in High-Speed Signaling Channel with Periodical Spiral Resonator Defected Microstriplines in a High Performance Printed Circuit Board,https://www.researchgate.net/publication/382875844_Near_end_and_Far_end_Crosstalk_reduction_in_High-Speed_Signaling_Channel_with_Periodical_Spiral_Resonator_Defected_Microstriplines_in_a_High_Performance_Printed_Circuit_Board,2024,Article,2024-08-01 00:00:00,DOI:10.1587/elex.21.20240268,"High-density interconnects in modern PCBs, especially in DDR5 technology, have exacerbated near-end crosstalk (NEXT) and far-end crosstalk (FEXT), degrading signal quality. In this research, proposed Periodical Spiral Resonators (PSRs) within signal lines to mitigate these issues. The spiral structure extends and twists signal paths, increasing electrical length and altering the electric field distribution, reducing mutual coupling between traces. Experimental validation shows significant signal quality improvement up to 10GHz, with a 22.35 dB reduction in NEXT and 30.16 dB reduction in FEXT. Simulations reveal a 50.47% reduction in near-end crosstalk and an 87.72% reduction in far-end crosstalk when compared to existing techniques. Our approach holds immense potential for DDR5 memory modules, promising minimal NEXT and FEXT, and ensuring superior performance and reliability.","Gobinath Arumugam, Suresh-Kumar Natarajan, Rajeswari Packianathan, Mohamed Salah KAROUI",,2025-01-20 00:49:05.035612,2025-01-20 00:49:05.035612,2f424434d68511ef984c0c9a3cb15cde
RAMBLE: Bluetooth Low Energy from DDR5 Memory Buses,https://www.researchgate.net/publication/386522852_RAMBLE_Bluetooth_Low_Energy_from_DDR5_Memory_Buses,2024,Conference Paper,2024-10-01 00:00:00,,,"Brandon John, Erez Binyamin, Brendan Mulholland",,2025-01-20 00:49:05.063054,2025-01-20 00:49:05.063054,2f424434d68511ef984c0c9a3cb15cde
"A Mess of Memory System Benchmarking, Simulation and Application Profiling",https://www.researchgate.net/publication/380635123_A_Mess_of_Memory_System_Benchmarking_Simulation_and_Application_Profiling,2024,Preprint,2024-05-01 00:00:00,,"The Memory stress (Mess) framework provides a unified view of the memory system benchmarking, simulation and application profiling. The Mess benchmark provides a holistic and detailed memory system characterization. It is based on hundreds of measurements that are represented as a family of bandwidth--latency curves. The benchmark increases the coverage of all the previous tools and leads to new findings in the behavior of the actual and simulated memory systems. We deploy the Mess benchmark to characterize Intel, AMD, IBM, Fujitsu, Amazon and NVIDIA servers with DDR4, DDR5, HBM2 and HBM2E memory. The Mess memory simulator uses bandwidth--latency concept for the memory performance simulation. We integrate Mess with widely-used CPUs simulators enabling modeling of all high-end memory technologies. The Mess simulator is fast, easy to integrate and it closely matches the actual system performance. By design, it enables a quick adoption of new memory technologies in hardware simulators. Finally, the Mess application profiling positions the application in the bandwidth--latency space of the target memory system. This information can be correlated with other application runtime activities and the source code, leading to a better overall understanding of the application's behavior. The current Mess benchmark release covers all major CPU and GPU ISAs, x86, ARM, Power, RISC-V, and NVIDIA's PTX. We also release as open source the ZSim, gem5 and OpenPiton Metro-MPI integrated with the Mess memory simulator for DDR4, DDR5, Optane, HBM2, HBM2E and CXL memory expanders. The Mess application profiling is already integrated into a suite of production HPC performance analysis tools.","Pouya Esmaili-Dokht, Francesco Sgherzi, Valéria Soldera Girelli, Isaac Boixaderas",,2025-01-20 00:49:05.091433,2025-01-20 00:49:05.091433,2f424434d68511ef984c0c9a3cb15cde
Design and Verification of DDR5 Subsystem Using UVM Methodology,https://www.researchgate.net/publication/387656561_Design_and_Verification_of_DDR5_Subsystem_Using_UVM_Methodology,2024,Conference Paper,2024-11-01 00:00:00,,,"Uma B V, Kumar Muchalambi",,2025-01-20 00:49:05.116621,2025-01-20 00:49:05.116621,2f424434d68511ef984c0c9a3cb15cde
"A 1.1-V 10-nm Class 6.4-Gb/s/Pin 16-Gb DDR5 SDRAM With a Phase Rotator-ILO DLL, High-Speed SerDes, and DFE/FFE Equalization Scheme for Rx/Tx",https://www.researchgate.net/publication/338327373_A_11-V_10-nm_Class_64-GbsPin_16-Gb_DDR5_SDRAM_With_a_Phase_Rotator-ILO_DLL_High-Speed_SerDes_and_DFEFFE_Equalization_Scheme_for_RxTx,2020,Article,2020-01-01 00:00:00,DOI:10.1109/JSSC.2019.2948806,"A 1.1-V 6.4-Gb/s/pin 16-Gbit DDR5 is presented in 10-nm class CMOS technology. Various functions and circuits’ techniques are newly adopted to improve performance and power consumption compared with DDR4 SDRAM. First, to realize two times higher speed than DDR4, the injection-locked oscillator (ILO) delay locked loop (DLL) is adopted for the low jitter high-speed performance. The proposed DLL with phase rotator (PR) and ILO allows to minimize the clock tree of DRAM, lowering skew and jitter in the DRAM internal clock path. Second, for the high-speed write operation, DQS gate opening control and write leveling are very important to minimize the turnaround time of DRAM, and thus new sequence and logic for the write-level training are introduced in this article. Third, to maximize the data valid window of read DQs, duty cycle adjustable serialize circuit methods are proposed. Finally, to improve the interface speed, the decision feedback equalization (DFE) and feedforward equalization (FFE) are adopted to Rx and Tx, respectively. By implementing all the items mentioned earlier, the 1.1-V 6.4-Gb/s/pin 16-Gbit DDR5 achieved 6.4-Gb/s/pin performance at 1.05-VVDDV_{DD}, with its power bandwidth efficiency 30% higher than that of DDR4.","Dongkyun Kim, Kibong Koo, Yongmi Kim, Dong Uk Lee",,2025-01-20 00:49:05.143297,2025-01-20 00:49:05.143297,2f424434d68511ef984c0c9a3cb15cde
RogueRFM: Attacking Refresh Management for Covert-Channel and Denial-of-Service,https://www.researchgate.net/publication/387976222_RogueRFM_Attacking_Refresh_Management_for_Covert-Channel_and_Denial-of-Service,2025,Preprint,2025-01-01 00:00:00,,"With lowering thresholds, transparently defending against Rowhammer within DRAM is challenging due to the lack of time to perform mitigation. Commercially deployed in-DRAM defenses like TRR that steal time from normal refreshes~(REF) to perform mitigation have been proven ineffective against Rowhammer. In response, a new Refresh Management (RFM) interface has been added to the DDR5 specifications. RFM provides dedicated time to an in-DRAM defense to perform mitigation. Several recent works have used RFM for the intended purpose - building better Rowhammer defenses. However, to the best of our knowledge, no prior study has looked at the potential security implications of this new feature if an attacker subjects it to intentional misuse. Our paper shows that RFM introduces new side effects in the system - the activity of one bank causes interference with the operation of the other banks. Thus, the latency of a bank becomes dependent on the activity of other banks. We use these side effects to build two new attacks. First, a novel memory-based covert channel, which has a bandwidth of up to 31.3 KB/s, and is also effective even in a bank-partitioned system. Second, a new Denial-of-Service (DOS) attack pattern that exploits the activity within a single bank to reduce the performance of the other banks. Our experiments on SPEC2017, PARSEC, and LIGRA workloads show a slowdown of up to 67\% when running alongside our DOS pattern. We also discuss potential countermeasures for our attacks.","Hritvik Taneja, Moinuddin Qureshi",,2025-01-20 00:49:05.173455,2025-01-20 00:49:05.173455,2f424434d68511ef984c0c9a3cb15cde
HiDALGO2 D3.4 Innovative HPC Technologies and Benchmarking,https://www.researchgate.net/publication/379907478_HiDALGO2_D34_Innovative_HPC_Technologies_and_Benchmarking,2024,Experiment Findings,2024-04-01 00:00:00,,"A thorough understanding of the development direction of the technologies on which modern HPC systems are based is the key to building efficient applications that take full advantage of the offered hardware capabilities.
This deliverable outlines the first approach of HiDALGO2 implementations to innovative HPC technologies. Particularly, the report provides information on promising state-of-the-art AMD technologies which apply to HiDALGO2 pilot applications. It defines the HiDALGO2 benchmark suite concerning the profound profiling of AMD EPYC 9004 series processors. The OpenFOAM framework, commonly used to implement use cases in the project, was used as the test base.
For a better understanding of the research context, a detailed description of the application architecture of the new processors and the platforms on which the tests were performed is presented. Particular emphasis is placed on the impact of large-cache systems on the parallel performance of various OpenFOAM computation kernels.
Many tests have demonstrated the optimal balance between memory speed and core count for a Genoa-based system featuring 2x64 cores, particularly evident with smaller mesh sizes. Moreover, the EPYC Genoa processor boasting 96 cores exhibits a performance boost of up to 2.6 times when compared to the standard EPYC Milan. This enhancement is credited to the 12-channel DDR5 memory and an additional 32 cores. The study also highlights that systems equipped with large caches and 3D cache support enabled by AMD processors show significant potential for performance enhancements by addressing memory binding issues in applications like OpenFOAM--based parallel codes. Specifically, substantial performance advantages are realized with the 3D cache systems found in Milan X and Genoa X processors in contrast to their regular Milan and Genoa counterparts. Furthermore, performance improvements were noted in systems featuring innovative DDR5-based compute nodes (Genoa and Bergamo nodes) compared to the previous generation DDR4-based memory subsystem (Rome and Milan nodes).","Łukasz Szustak, László Környei, Marcin Lawenda, Flavio Cesar Cunha Galeazzo",,2025-01-20 00:49:05.208810,2025-01-20 00:49:05.208810,2f424434d68511ef984c0c9a3cb15cde
Fault Bounding On-Die BCH Codes for Improving Reliability of System ECC,https://www.researchgate.net/publication/387804506_Fault_Bounding_On-Die_BCH_Codes_for_Improving_Reliability_of_System_ECC,2025,Article,2025-01-01 00:00:00,DOI:10.1109/TVLSI.2024.3523899,"While continuous dynamic random access memory (DRAM) scaling may require an on-die error correction code (ECC) with enhanced correction capability, a double error correcting code with fault bounding scheme has not been explored. In this brief, we present the fault bounding on-die Bose–Chaudhuri–Hocquenghem (BCH) code that improves the compatibility with one-symbol error correcting system ECC used in dual data rate five (DDR5) dual in-line memory module (DIMM). By modifying the 
H 
matrix of BCH code, the proposed decoding method determines the fault boundary within which burst errors occur, effectively preventing the spread of these errors across fault boundaries. A comparison of bounded rates with conventional codes illustrates the enhanced compatibility with system ECC. The encoder and decoder of the proposed code have been implemented using a 28-nm CMOS process to demonstrate the hardware cost.","Seongyoon Kang, Chaehyeon Shin, Jongsun Park",,2025-01-20 00:49:05.242349,2025-01-20 00:49:05.242349,2f424434d68511ef984c0c9a3cb15cde
Increased Renal Inflammation in Drd5 Knockout Mice Is Associated With Peroxiredoxin-4 Dysfunction,https://www.researchgate.net/publication/373927363_Increased_Renal_Inflammation_in_Drd5_Knockout_Mice_Is_Associated_With_Peroxiredoxin-4_Dysfunction,2022,Presentation,2022-11-01 00:00:00,,"In D5R-HEK 293 cells, fenoldopam (FEN, 25 nM/12 hr, n=4), a D1-like receptor agonist,
increased the expression (158.1±11.9% vs 100.0±6.8% basal level, n=6) of peroxiredoxin-4 (PRDX4), an endoplasmic reticulum-localized protein. By contrast, D5R protein was decreased in PRDX4 siRNA-treated D5R-HEK293 (58.8±6.7% vs 100.0±9.6% basal level, n=4) and human renal proximal tubule cells (hRPTCs) (60.4±5.8%, n=4). PRDX4 protein was also decreased in the kidney cortices of Ddr5-/- mice (Ddr5+/+: 100±18%, n=5; D5R -/-: 69±14%, n=4; P<0.05). FEN increased the co-immunoprecipitation of D5R and PRDX4 and their colocalization, particularly in the endoplasmic reticulum. Moreover, silencing PRDX4, by its specific siRNA, increased reactive oxygen species (ROS) production and impaired the inhibitory effect of FEN on ROS production in hRPTCs. In D5R-HEK 293 cells, siRNA silencing of PRDX4 also increased the production of tumor necrosis factor (TNF) and interleukin (IL)-1b.
The increase in TNF protein in D5R-HEK293 cells with silenced PRDX4 was attenuated by tempol, a superoxide dismutase mimetic, indicating that oxidative stress and downstream inflammation are associated with PRDX4 deficiency and consistent with the increase in NLRP3 inflammasome with PRDX4 silencing (scrambled siRNA: 100±5.0%, PRDX4 siRNA: 150.6±6.0%). The protein expressions of TNF (Ddr5+/+: 100±11%, n=4; D5R -/-: 179±16%, n=4; P<0.05) and IL-1β (Ddr5+/+: 100±13%, n=4; D5R -/-: 156±14%, n=4; P<0.05) were also increased in the kidney cortices of Drd5-/- mice, relative to Drd5+/+ littermates","Bibhas Amatya, Jacob Polzin, Laureano Asico, Ines Armando",,2025-01-20 00:49:05.264332,2025-01-20 00:49:05.264332,2f424434d68511ef984c0c9a3cb15cde
A 1.05-to-3.2GHz All-Digital PLL for DDR5 Registering Clock Driver with a Self-Biased Supply-Noise-Compensating Ring DCO,https://www.researchgate.net/publication/355750807_A_105-to-32GHz_All-Digital_PLL_for_DDR5_Registering_Clock_Driver_with_a_Self-Biased_Supply-Noise-Compensating_Ring_DCO,2021,Article,2021-10-01 00:00:00,DOI:10.1109/TCSII.2021.3123610,"This brief presents an all-digital PLL (AD-PLL) for a DDR5 registering clock driver (RCD) with a self-biased supply-noise-compensation (SNC) technique. By combining two Nagata current sources that have opposite dependency on supply variations, it offers a constant current to a ring oscillator over a wide range of supply voltage. Thereby, the dynamic voltage droop due to variations in workload is compensated while a voltage margin for mass production is improved. Since the SNC technique operates independently of the PLL loop bandwidth without using feedback, the proposed AD-PLL is free from the stability problem associated with bandwidth overlapping. Quantitative analyses on static and dynamic characteristics of the proposed SNC technique and relevant design considerations are addressed. Fabricated in the 28-nm CMOS technology, the AD-PLL occupies an active area of 0.06 mm2and consumes 12.1 mW at 3.0 GHz with a 1.1 V supply voltage. The power-supply-noise-attenuation (PSNA) is measured as 40 dB and the integrated rms jitter of 271 fs is observed.","Yeonggeun Song, Han-Gon Ko, Changhyun Kim, Deog-Kyoon Jeong",,2025-01-20 00:49:05.293096,2025-01-20 00:49:05.293096,2f424434d68511ef984c0c9a3cb15cde
Optimizing System Memory Bandwidth with Micron CXL Memory Expansion Modules on Intel Xeon 6 Processors,https://www.researchgate.net/publication/387140699_Optimizing_System_Memory_Bandwidth_with_Micron_CXL_Memory_Expansion_Modules_on_Intel_Xeon_6_Processors,2024,Preprint,2024-12-01 00:00:00,,"High-Performance Computing (HPC) and Artificial Intelligence (AI) workloads typically demand substantial memory bandwidth and, to a degree, memory capacity. CXL memory expansion modules, also known as CXL ""type-3"" devices, enable enhancements in both memory capacity and bandwidth for server systems by utilizing the CXL protocol which runs over the PCIe interfaces of the processor. This paper discusses experimental findings on achieving increased memory bandwidth for HPC and AI workloads using Micron's CXL modules. This is the first study that presents real data experiments utilizing eight CXL E3.S (x8) Micron CZ122 devices on the Intel Xeon 6 processor 6900P (previously codenamed Granite Rapids AP) featuring 128 cores, alongside Micron DDR-5 memory operating at 6400 MT/s on each of the CPU's 12 DRAM channels. The eight CXL memories were set up as a unified NUMA configuration, employing software-based page level interleaving mechanism, available in Linux kernel v6.9+, between DDR5 and CXL memory nodes to improve overall system bandwidth. Memory expansion via CXL boosts read-only bandwidth by 24% and mixed read/write bandwidth by up to 39%. Across HPC and AI workloads, the geometric mean of performance speedups is 24%.","Rohit Sehgal, Vishal Tanna, Vinicius Petrucci, Anil Godbole",,2025-01-20 00:49:05.316119,2025-01-20 00:49:05.316119,2f424434d68511ef984c0c9a3cb15cde
A DDR5 Interposer De-embedding Method Based on Transfer Function,https://www.researchgate.net/publication/386030049_A_DDR5_Interposer_De-embedding_Method_Based_on_Transfer_Function,2024,Conference Paper,2024-10-01 00:00:00,,,"Aobo Li, Jun Wang, Yan Xu, Kangkang Zhang",,2025-01-20 00:49:05.342249,2025-01-20 00:49:05.342249,2f424434d68511ef984c0c9a3cb15cde
